Time,Susceptible,Sick,Immune,Dead,
290,35,48,62,5,
291,34,49,62,5,
292,34,48,63,5,
293,34,48,63,5,
294,34,48,63,5,
295,34,48,63,5,
296,32,50,63,5,
297,32,50,63,5,
298,32,50,63,5,
299,32,50,63,5,
300,32,50,63,5,
301,32,50,63,5,
302,32,50,63,5,
303,32,49,64,5,
304,32,49,64,5,
305,32,49,64,5,
306,32,49,64,5,
307,32,49,64,5,
308,32,49,64,5,
309,32,49,64,5,
310,32,49,64,5,
311,32,49,64,5,
312,32,49,64,5,
313,32,49,64,5,
314,32,49,64,5,
315,32,49,64,5,
316,32,48,65,5,
317,32,48,65,5,
318,32,48,65,5,
319,32,48,65,5,
320,32,48,65,5,
321,32,48,65,5,
322,32,47,66,5,
323,32,47,66,5,
324,32,47,66,5,
325,32,47,66,5,
326,32,47,66,5,
327,32,47,66,5,
328,32,47,66,5,
329,32,47,66,5,
330,32,47,66,5,
331,32,46,66,6,
332,32,46,66,6,
333,32,46,66,6,
334,32,46,66,6,
335,32,46,66,6,
336,32,46,66,6,
337,32,45,67,6,
338,32,45,67,6,
339,32,45,67,6,
340,32,45,67,6,
341,32,45,67,6,
342,32,44,67,7,
343,32,44,67,7,
344,32,44,67,7,
345,32,44,67,7,
346,32,44,67,7,
347,32,44,67,7,
348,32,44,67,7,
349,32,44,67,7,
350,32,44,67,7,
351,32,44,67,7,
352,32,44,67,7,
353,32,44,67,7,
354,32,44,67,7,
355,32,44,67,7,
356,32,44,67,7,
357,32,44,67,7,
358,32,44,67,7,
359,32,44,67,7,
360,32,44,67,7,
361,32,44,67,7,
362,32,44,67,7,
363,32,43,68,7,
364,32,43,68,7,
365,32,43,68,7,
366,32,43,68,7,
367,32,43,68,7,
368,32,43,68,7,
369,32,43,68,7,
370,32,43,68,7,
371,32,43,68,7,
372,32,43,68,7,
373,32,43,68,7,
374,32,43,68,7,
375,32,43,68,7,
376,32,43,68,7,
377,32,43,68,7,
378,32,43,68,7,
379,30,45,68,7,
380,30,45,68,7,
381,30,45,68,7,
382,30,45,68,7,
383,30,45,68,7,
384,30,45,68,7,
385,30,45,68,7,
386,30,45,68,7,
387,30,45,68,7,
388,30,45,68,7,
389,30,45,68,7,
390,30,45,68,7,
391,28,47,68,7,
392,28,47,68,7,
393,28,47,68,7,
394,28,47,68,7,
395,28,47,68,7,
396,28,46,69,7,
397,28,46,69,7,
398,28,46,69,7,
399,28,46,69,7,
400,28,46,69,7,
401,28,46,69,7,
402,28,46,69,7,
403,28,46,69,7,
404,28,46,69,7,
405,28,46,69,7,
406,28,46,69,7,
407,28,46,69,7,
408,28,46,69,7,
409,28,46,69,7,
410,28,46,69,7,
411,28,46,69,7,
412,28,46,69,7,
413,28,46,69,7,
414,28,46,69,7,
415,28,46,69,7,
416,28,46,69,7,
417,28,46,69,7,
418,28,46,69,7,
419,28,46,69,7,
420,28,46,69,7,
421,28,46,69,7,
422,28,46,69,7,
423,28,46,69,7,
424,28,46,69,7,
425,28,46,69,7,
426,28,46,69,7,
427,28,46,69,7,
428,28,46,69,7,
429,28,46,69,7,
430,28,45,70,7,
431,28,45,70,7,
432,28,45,70,7,
433,28,45,70,7,
434,28,45,70,7,
435,28,45,70,7,
436,28,45,70,7,
437,28,45,70,7,
438,28,45,70,7,
439,28,45,70,7,
440,28,45,70,7,
441,28,45,70,7,
442,28,45,70,7,
443,28,45,70,7,
444,28,45,70,7,
445,28,45,70,7,
446,28,45,70,7,
447,28,44,71,7,
448,28,44,71,7,
449,28,44,71,7,
450,28,44,71,7,
451,28,44,71,7,
452,28,44,71,7,
453,28,44,71,7,
454,28,44,71,7,
455,28,44,71,7,
456,28,44,71,7,
457,28,44,71,7,
458,28,44,71,7,
459,28,44,71,7,
460,28,44,71,7,
461,28,44,71,7,
462,28,44,71,7,
463,28,44,71,7,
464,28,44,71,7,
465,28,44,71,7,
466,28,44,71,7,
467,28,44,71,7,
468,28,44,71,7,
469,28,44,71,7,
470,28,44,71,7,
471,28,44,71,7,
472,28,44,71,7,
473,28,44,71,7,
474,28,44,71,7,
475,28,44,71,7,
476,28,44,71,7,
477,28,44,71,7,
478,28,44,71,7,
479,28,44,71,7,
480,28,44,71,7,
481,28,44,71,7,
482,28,44,71,7,
483,28,44,71,7,
484,28,44,71,7,
485,28,44,71,7,
486,28,44,71,7,
487,28,44,71,7,
488,28,44,71,7,
489,28,44,71,7,
490,28,44,71,7,
491,28,44,71,7,
492,28,43,72,7,
493,28,43,72,7,
494,28,43,72,7,
495,28,43,72,7,
496,28,43,72,7,
497,28,43,72,7,
498,28,43,72,7,
499,28,43,72,7,
500,28,43,72,7,
501,28,43,72,7,
502,28,43,72,7,
503,28,43,72,7,
504,28,43,72,7,
505,28,43,72,7,
506,28,43,72,7,
507,28,43,72,7,
508,28,43,72,7,
509,28,43,72,7,
510,28,43,72,7,
511,28,43,72,7,
512,28,43,72,7,
513,28,43,72,7,
514,28,43,72,7,
515,28,43,72,7,
516,28,43,72,7,
517,28,43,72,7,
518,28,43,72,7,
519,28,43,72,7,
520,28,43,72,7,
521,28,43,72,7,
522,28,43,72,7,
523,28,43,72,7,
524,28,43,72,7,
525,28,43,72,7,
526,28,43,72,7,
527,28,43,72,7,
528,28,43,72,7,
529,28,43,72,7,
530,28,43,72,7,
531,28,43,72,7,
532,28,43,72,7,
533,28,43,72,7,
534,28,43,72,7,
535,28,43,72,7,
536,28,43,72,7,
537,28,43,72,7,
538,28,43,72,7,
539,28,43,72,7,
540,28,43,72,7,
541,28,43,72,7,
542,28,43,72,7,
543,28,43,72,7,
544,28,43,72,7,
545,28,43,72,7,
546,28,43,72,7,
547,28,43,72,7,
548,28,43,72,7,
549,28,43,72,7,
550,28,43,72,7,
551,28,43,72,7,
552,28,43,72,7,
553,28,43,72,7,
554,28,43,72,7,
555,28,43,72,7,
556,28,43,72,7,
557,28,43,72,7,
558,28,43,72,7,
559,28,43,72,7,
560,28,43,72,7,
561,28,43,72,7,
562,28,43,72,7,
563,26,45,72,7,
564,26,45,72,7,
565,26,45,72,7,
566,26,45,72,7,
567,26,45,72,7,
568,26,45,72,7,
569,26,45,72,7,
570,26,45,72,7,
571,26,45,72,7,
572,26,45,72,7,
573,26,45,72,7,
574,26,45,72,7,
575,26,45,72,7,
576,26,45,72,7,
577,26,45,72,7,
578,26,45,72,7,
579,26,45,72,7,
580,26,45,72,7,
581,26,45,72,7,
582,26,45,72,7,
583,26,45,72,7,
584,26,45,72,7,
585,26,45,72,7,
586,26,45,72,7,
587,26,45,72,7,
588,26,45,72,7,
589,26,45,72,7,
590,26,45,72,7,
591,25,46,72,7,
592,25,46,72,7,
593,25,46,72,7,
594,25,46,72,7,
595,25,46,72,7,
596,25,46,72,7,
597,25,46,72,7,
598,25,46,72,7,
599,25,46,72,7,
600,25,46,72,7,
601,25,46,72,7,
602,25,45,72,8,
603,25,45,72,8,
604,25,45,72,8,
605,25,45,72,8,
606,25,45,72,8,
607,25,45,72,8,
608,25,45,72,8,
609,25,45,72,8,
610,25,45,72,8,
611,25,45,72,8,
612,25,45,72,8,
613,25,45,72,8,
614,25,45,72,8,
615,25,45,72,8,
616,25,45,72,8,
617,25,45,72,8,
618,25,45,72,8,
619,25,45,72,8,
620,25,45,72,8,
621,25,45,72,8,
622,25,45,72,8,
623,25,45,72,8,
624,25,45,72,8,
625,25,45,72,8,
626,25,45,72,8,
627,25,45,72,8,
628,25,45,72,8,
629,25,45,72,8,
630,25,45,72,8,
631,25,45,72,8,
632,25,45,72,8,
633,25,45,72,8,
634,25,45,72,8,
635,25,45,72,8,
636,25,45,72,8,
637,25,45,72,8,
638,25,45,72,8,
639,25,45,72,8,
640,25,45,72,8,
641,25,45,72,8,
642,25,45,72,8,
643,25,45,72,8,
644,25,45,72,8,
645,25,45,72,8,
646,25,45,72,8,
647,25,45,72,8,
648,25,45,72,8,
649,25,45,72,8,
650,25,45,72,8,
651,25,45,72,8,
652,25,45,72,8,
653,25,45,72,8,
654,25,45,72,8,
655,25,45,72,8,
656,25,45,72,8,
657,25,45,72,8,
658,25,45,72,8,
659,25,45,72,8,
660,25,45,72,8,
661,25,45,72,8,
662,25,45,72,8,
663,25,45,72,8,
664,25,45,72,8,
665,25,45,72,8,
666,25,45,72,8,
667,25,45,72,8,
668,25,45,72,8,
669,25,45,72,8,
670,25,45,72,8,
671,25,45,72,8,
672,25,45,72,8,
673,25,45,72,8,
674,25,45,72,8,
675,25,45,72,8,
676,25,45,72,8,
677,25,45,72,8,
678,25,45,72,8,
679,25,45,72,8,
680,25,45,72,8,
681,25,45,72,8,
682,25,45,72,8,
683,25,45,72,8,
684,25,45,72,8,
685,25,45,72,8,
686,25,45,72,8,
687,25,45,72,8,
688,25,45,72,8,
689,25,45,72,8,
690,25,45,72,8,
691,25,45,72,8,
692,25,45,72,8,
693,25,45,72,8,
694,25,45,72,8,
695,25,44,73,8,
696,25,44,73,8,
697,25,44,73,8,
698,25,44,73,8,
699,25,44,73,8,
700,25,44,73,8,
701,25,44,73,8,
702,25,44,73,8,
703,25,44,73,8,
704,25,44,73,8,
705,25,44,73,8,
706,25,44,73,8,
707,25,44,73,8,
708,25,44,73,8,
709,25,44,73,8,
710,25,44,73,8,
711,25,44,73,8,
712,25,44,73,8,
713,25,44,73,8,
714,25,43,74,8,
715,25,43,74,8,
716,25,43,74,8,
717,25,43,74,8,
718,25,43,74,8,
719,25,43,74,8,
720,25,43,74,8,
721,25,43,74,8,
722,25,43,74,8,
723,25,43,74,8,
724,25,43,74,8,
725,25,43,74,8,
726,25,43,74,8,
727,25,43,74,8,
728,25,43,74,8,
729,25,43,74,8,
730,25,43,74,8,
731,25,43,74,8,
732,25,43,74,8,
733,25,43,74,8,
734,25,43,74,8,
735,25,43,74,8,
736,25,43,74,8,
737,25,43,74,8,
738,25,43,74,8,
739,25,43,74,8,
740,25,43,74,8,
741,25,43,74,8,
742,25,43,74,8,
743,25,43,74,8,
744,25,43,74,8,
745,25,43,74,8,
746,25,43,74,8,
747,25,43,74,8,
748,25,43,74,8,
749,25,43,74,8,
750,25,43,74,8,
751,25,43,74,8,
752,25,43,74,8,
753,25,43,74,8,
754,25,43,74,8,
755,25,43,74,8,
756,25,43,74,8,
757,25,43,74,8,
758,25,43,74,8,
759,25,43,74,8,
760,25,43,74,8,
761,25,42,74,9,
762,25,42,74,9,
763,25,42,74,9,
764,25,42,74,9,
765,25,42,74,9,
766,25,42,74,9,
767,25,42,74,9,
768,25,42,74,9,
769,25,42,74,9,
770,25,42,74,9,
771,25,42,74,9,
772,25,42,74,9,
773,25,42,74,9,
774,25,42,74,9,
775,25,42,74,9,
776,25,42,74,9,
777,25,42,74,9,
778,25,42,74,9,
779,25,42,74,9,
780,25,42,74,9,
781,25,42,74,9,
782,25,42,74,9,
783,25,42,74,9,
784,25,42,74,9,
785,25,42,74,9,
786,25,42,74,9,
787,25,42,74,9,
788,25,42,74,9,
789,25,42,74,9,
790,25,42,74,9,
791,25,42,74,9,
792,25,42,74,9,
793,25,42,74,9,
794,25,42,74,9,
795,25,42,74,9,
796,25,42,74,9,
797,25,42,74,9,
798,25,42,74,9,
799,25,42,74,9,
800,25,42,74,9,
801,25,42,74,9,
802,25,42,74,9,
803,25,42,74,9,
804,25,42,74,9,
805,25,42,74,9,
806,25,42,74,9,
807,25,42,74,9,
808,25,42,74,9,
809,25,42,74,9,
810,25,42,74,9,
811,25,42,74,9,
812,25,42,74,9,
813,25,42,74,9,
814,25,42,74,9,
815,25,42,74,9,
816,25,42,74,9,
817,25,42,74,9,
818,25,42,74,9,
819,25,42,74,9,
820,25,42,74,9,
821,25,42,74,9,
822,25,42,74,9,
823,25,42,74,9,
824,25,42,74,9,
